grantee,description,amount,period,initiative,program
#Cut50/Dream Corps,#Cut50 is a bipartisan criminal justice reform organization working at the state and federal level. This general operating grant will support the core functions of the organization.,"$250,000",2018 - 2019,Justice & Opportunity,Criminal Justice Reform
100Kin10,"100Kin10, a fiscally sponsored project of the Tides Center, is a networked effort of nearly 200+ partners working collaboratively to prepare and retain 100,000 excellent STEM teachers by 2021 while addressing the underlying causes of why it is so hard to get and keep great teachers, especially in STEM. This grant provides general operating support for 100Kin10 to codify, refine, and share the problem-solving tools and strategies they have developed in their national network's effort.","$460,000",2018 - 2019,Education,K-12 Education
Aalto University Foundation,"This grant supports the development of statistical methods that can be applied to single-cell RNA-sequencing data to quantify molecular mechanisms at the level of individual cells. (PI: Harri Lahdesmaki, Human Cell Atlas Computational Tools RFA)","$170,296",2018 - 2019,Science,Human Cell Atlas
Able Works,"Able Works equips individuals with financial education, life skills, and assets that enable them to live free from oppression and poverty. With this capacity building grant they'll be able to develop their board and leadership.","$10,000",2018 - 2019,Community,Bay Area
Able Works,"Able Works equips individuals with financial education, life skills, and assets that enable them to live free from oppression and poverty. This Community Fund grant supports their work across all four communities the Fund operates in.","$100,000",2018,Community,Bay Area
Abode Services,"Abode Services' mission is to end homelessness by assisting low-income, un-housed people, including those with special needs, to secure stable, supportive housing; and to be advocates for the removal of the causes of homelessness. This grant bolsters their mission to end homelessness by providing operational support across the organization.","$500,000",2018 - 2019,Community,Bay Area
Achievement First,"Achievement First is a network of public charter schools in Connecticut, New York City, and Rhode Island with a mission to deliver on the promise of equal educational opportunity for all of America's children. This grant supports Achievement First in developing and implementing curricular materials and staff training for its K-6 Greenfield model, which leverages personalized learning in order to maximize student motivation and drive breakthrough academic gains.","$350,000",2018 - 2019,Education,K-12 Education
Affordable Housing Now,"Affordable Housing Now was made up of four Executive Committee partners: CA Housing Consortium, the Building and Construction Trades Council of CA, Housing California and Silicon Valley Leadership Group. This grant supported Affordable Housing Now's local advocacy work, which included support for Prop 1, the Veterans and Affordable Housing Bond Act, a ballot measure enacted in 2018 which will help to build affordable housing for veterans, working families, people with disabilities and Californian's experiencing homelessness.","$250,000",2018,Justice & Opportunity,Housing
Affordable Housing Now,"Affordable Housing Now was made up of four Executive Committee partners: CA Housing Consortium, the Building and Construction Trades Council of CA, Housing California and Silicon Valley Leadership Group. This grant supported Affordable Housing Now's local advocacy work, which included support for Prop 1, the Veterans and Affordable Housing Bond Act, a ballot measure enacted in 2018 which will help to build affordable housing for veterans, working families, people with disabilities and Californian's experiencing homelessness.","$50,000",2018,Justice & Opportunity,Housing
AI4ALL,AI4ALL is an Oakland-based nonprofit that opens doors to the artificial intelligence industry for underrepresented talent through education and mentorship. This grant will support prospective students of UCSF's program and provide a free 3-week program to 35 students in 2019.,"$75,000",2018 - 2019,Other,Diversity Equity & Inclusion
Aim High for High School,Aim High creates life-changing opportunities during the summer and beyond. This regional partnership grant supports their summer learning and enrichment opportunities for low-income middle school students in Redwood City and East Palo Alto.,"$75,000",2018,Community,Bay Area
Aina Hookupu O Kilauea,"Āina Hoʻokupu O Kīlauea’s (AHK’s) goal is to facilitate solutions to economic, social, and agricultural/food security challenges that the greater Kīlauea community faces. This grant supports their community farm as well as the educational community farm program.","$20,000",2018 - 2019,Community,Family Giving
Alliance for Excellent Education,"The Alliance for Excellent Education propels high school transformation so that every child — particularly historically underserved students — graduates from high school prepared for college, career, and civic life. This grant supports the organization's work to curate and disseminate resources based on learning science and adolescent development research, to create a trained cohort of learning science specialist mentors, and to partner with districts and schools in the application of these evidence-based strategies for student success.","$1,500,000",2018 - 2020,Education,Learning Science
Aloha Angels Inc.,"Aloha Angels supports Kauai public schools by facilitating field trips and providing technology and supplies, and more. This grant supports the Adopt an After School Club Program, which provided after school mentoring for more than 550 children in the last year.","$20,000",2018 - 2019,Community,Family Giving
"America Achieves, Inc. (GripTape)",GripTape is a youth-designed and youth-led organization that provides opportunities and resources for students to pursue their passions and drive their learning. This grant provides general operating support for GripTape to identify conditions and variables that support the development of agency and self-direction in young people as they pursue their interests.,"$1,200,000",2018 - 2021,Education,Student Development
American Association for the Advancement of Science (American Association for the Advancement of Science),"SciLine is an independent, freely available service providing timely access to trustworthy, articulate experts for journalists. This grant supports a six-city bus tour in 2018 that will introduce local journalists, news editors, and television studio bookers to SciLine. This will help SciLine bring quality, vetted scientific sources to support reporting across the country.","$59,110",2018 - 2019,Science,Movement for Science
American Association for the Advancement of Science (American Association for the Advancement of Science),"This grant supports three stakeholder engagement summits that will inform the development & launch of the AAAS EPI Center, which will address important science policy issues at the forefront of the public conversation.","$288,019",2018 - 2020,Science,Movement for Science
American Conservative Union Foundation,"American Conservative Union Foundation is a conservative grassroots organization seeking to preserve and protect the values of life, liberty, and property for every American. This general operating grant supports the Center for Criminal Justice Reform, a project of ACUF to provide leadership for the growing conservative consensus supporting criminal justice reform at the state and federal levels.","$958,000",2018 - 2019,Justice & Opportunity,Criminal Justice Reform
American Enterprise Institute,"The American Enterprise Institute is a public policy think tank dedicated to defending human dignity, expanding human potential, and building a freer and safer world. This grant supports the organization in launching two projects comprised of research, case study analysis, and convenings to understand the factors that contribute to the success — or failure — of change and innovation in K–12 education.","$800,000",2018 - 2020,Education,Public Policy
American National Red Cross,"The American Red Cross prevents and alleviates human suffering in the face of emergencies by mobilizing the power of volunteers and the generosity of donors.​ In response to the Kauai floods, this grant supports emergency disaster relief provided by the Red Cross.","$25,000",2018 - 2019,Community,Family Giving
American Voices Project,"The American Voices Project – a joint research initiative of the Stanford Center on Poverty and Inequality, Princeton University, the American Institutes for Research, and a coalition of Federal Reserve banks – is the country’s first qualitative census. Based on immersive interviews with 5000 households from over 200 sites in the United States, it will provide the country’s first infrastructure for systematically examining how low- and middle-income populations are faring. This grant will support the American Voices Project in carrying out hundreds of these interviews throughout the country.","$2,000,000",2018 - 2020,Justice & Opportunity,Economic Opportunity
Art in Action,Art in Action kindles students’ thinking and creativity by providing a comprehensive and engaging program. This Community Fund grant provides operational support to continue their work in East Palo Alto.,"$50,000",2018,Community,Bay Area
ASAPbio,This grant supports the advancing transparency in scientific publishing through awareness and best practices in preprinting.,"$150,000",2018 - 2021,Science,Knowledge Environments
Atlanta Speech School,"The Atlanta Speech School, composed of three preschools, a K-6 elementary school with a specialization in teaching children with dyslexia, a clinic, and Rollins Center for Language and Literacy, focuses on language and literacy acquisition for our most vulnerable children. The School’s work on campus is amplified through the Rollins Center and its free Cox Campus online community and learning platform for educators, healthcare, agencies, families and child-facing professionals working with children from the last trimester of pregnancy through age 8. Through its programs, the School is dedicated to eradicating illiteracy and educational inequity through universal access and application of the science of reading brain construction. This grant provides general operating support for the Atlanta Speech School to codify and share its work integrating evidence-based comprehensive student development practices.","$50,000",2018 - 2019,Education,Student Development
Bank Street College of Education,"Bank Street College of Education has a mission to improve the education of children and their teachers by applying to the education process all available knowledge about learning and growth, and by connecting teaching and learning meaningfully to the outside world. This grant supports the College to integrate the principles of comprehensive student development into their Improvement Science work, and to develop blended (online and in-person) delivery of these integrated principles to more educators to support equitable system-wide outcomes for all students.","$700,000",2018 - 2020,Education,Student Development
Bayshore Christian Ministries,"Bayshore Christian Ministiries works to equip East-of-Bayshore youth to grow spiritually, gain life skills and develop as leaders so they have hope and a future. This Community Fund grant suports their work in the East Palo Alto and Belle Haven communities.","$30,000",2018,Community,Bay Area
Bayshore Christian Ministries,"Bayshore Christian Ministries assists the youth of East Palo Alto and Belle Haven with spiritual growth, life skills and leadership development. This grant supports CZI's committment to capacity-building for its partner organizations by providing mental health training for staff.","$5,000",2018 - 2019,Community,Bay Area
"Bellwether Education Partners, Inc. (Promise54)","Promise54 aims to work side by side with education organizations to cultivate and maintain healthy, equitable, and inclusive talent-ready environments where a diverse set of adults can thrive in service of transformational student outcomes. This grant provides a set of existing CZI grantees with resources to participate in Promise54's Diversity, Equity, and Inclusion Accelerator, an 8-month professional learning community focused on helping organizations accelerate progress on diversity, equity, and inclusion.","$230,000",2018 - 2019,Education,K-12 Education
Benefits Data Trust,"Benefits Data Trust is a data-driven, multi-benefits enrollment agency that cross-references government data to identify people who are eligible for  benefits and helps them to enroll. Through rigorous human-centered design, outcomes tracking, and policy change, the organization funnels people to the ideal entry point -- ranging from high-touch community-based organizations and healthcare providers to a remarkably dignified call-center experience and now a self-service portal.**BDT is a grantee of Communities Thrive Challenge, a collaboration with the Rockefeller Foundation to fund, strengthen, and scale community-based approaches to expanding economic opportunity. While CZI disbursed the funds to BDT, the grant is joint in spirit.","$1,000,000",2018 - 2020,Justice & Opportunity,Economic Opportunity
BetaGov,"BetaGov helps policymakers and government agencies identify problems, develop innovative solutions, and test them using rigorous research and evaluation. This grant will allow BetaGov to partner with district attorneys in Wisconsin to understand what factors drive felony and misdemeanor charging decisions.","$163,755",2018 - 2019,Justice & Opportunity,Criminal Justice Reform
Bill Wilson Center,"The Bill Wilson Center supports and strengthens the community by serving youth and families through counseling, housing, education, and advocacy. In order to bolster their mission of aiding homeless youth, this grant will support staff wellness throughout the organization.","$50,000",2018,Community,Bay Area
"BMe Networks, Inc. (BMe Community)","BMe Community is an award-winning network of innovators, leaders, and champions who invest in aspiring communities. At the center of all BMe initiatives is the principle of Asset-Framing — recognizing and defining people as assets and building on their aspirations and positive contributions to society. This grant provides general operating support for BMe's work.","$100,000",2018 - 2019,Education,Communications
Boston Foundation Inc (Hack Diversity),"Hack Diversity tackles the underrepresentation of high-skilled minority employees in
Boston’s innovation economy. The grant will help the program expand from 32 fellows to 50 fellows in 2019.","$75,000",2018 - 2019,Other,Diversity Equity & Inclusion
Boys and Girls Club of Hawaii,"The Boys & Girls Clubs of Hawaii aims to help young people, especially those who need it most, build strong character and realize their full potential as responsible citizens and leaders. This grant provides general support for ongoing operations on Kauai.","$20,000",2018 - 2019,Community,Family Giving
Breakthrough Prize Foundation,"The Breakthrough Prizes honor important, primarily recent, achievements in the categories of Fundamental Physics, Life Sciences and Mathematics. This grant sponsors a Breakthrough Prize in Life Sciences.","$3,000,000",2018 - 2019,Community,Family Giving
"Brigham and Women's Hospital, Inc.","This grant supports the production of Bioconductor packages that combine familiar annotation for signatures and cell types with formally curated ontological vocabulary for data aggregation, statistical modeling, and visualization. (PI: Vincent Carey, Human Cell Atlas Computational Tools RFA)","$45,000",2018 - 2019,Science,Human Cell Atlas
Broad Institute of MIT and Harvard,This grant supports a CZI Imaging Software Fellow on the existing open-source CellProfiler codebase and contribution to collaborative open-source projects that will benefit the bioimaging software ecosystem.,"$656,035",2018 - 2021,Science,Imaging
Broad Institute of MIT and Harvard,"This grant supports the mapping of connections between a cell's morphology and its transcriptome towards uncovering quantitative and predictive links among the various modalities. (PI: Anne Carpenter, Human Cell Atlas Computational Tools RFA)","$250,000",2018 - 2019,Science,Human Cell Atlas
Broad Institute of MIT and Harvard,"This grant supports the definition of standards for sharing tertiary analysis, nucleating a small set of standardized tools, designing a registry to list standardized tools, and demonstrating the use of standardized tools. (PI: Timothy Tickle, Human Cell Atlas Computational Tools RFA)","$399,995",2018 - 2019,Science,Human Cell Atlas
Broad Institute of MIT and Harvard,"This grant supports the creation of the Human Cell Atlas Image Data Resource (HCA-IDR) and new software analytics capabilities by integrating existing tools into the Human Cell Atlas Data Coordination Platform for image ingestion, storage, and metadata association and by developing the *fish (Star-fish) project for generalized image analysis capabilities. (PI: Eric Banks, Human Cell Atlas Computational Tools RFA)","$250,000",2018 - 2019,Science,Human Cell Atlas
